full_text,label
@CommuterLine @suckislife_ @perkeretaapian Ngeri tangganya ga kuat min. Itu banyak bgt manusia,Keamanan
@CommuterLine 5517 telat 50 menit kenapa masuk bks harusnya 07 10 nyatanya 07.52 baru masuk bekasi. Jawab jgn template jgn kyak orang bodo jawabnya @CommuterLine,Keterlambatan
@CommuterLine itu papan jadwal cisauk jalur 2 gak update toling di update dong mana kereta lu pada telat,Keterlambatan
@CommuterLine @jalur5_ Klo kyk gini petugasnya bantu apa njir? Mau ngegendong? Kan yg dibutuhin mbaknya adl lift2 yg ga mati dan eskalator yg jalaaan fasilitas di stasiun gede kyk gtu ya dibenerin bukan terbengkalai mlu jir. Mls bgt bloon.,Pelayanan
@CommuterLine Penataran Malang-SBY pukul jam 3an 1 Des kenapa ngaret bgt Ampe jam 16 50?,Keterlambatan
@CommuterLine Min kereta yg dari dipo depok gangguan jadi menumpuk penumpang di st depok lama,Kepadatan
@CommuterLine @PT_Transjakarta bisa buat peraturan tiap penumpang wajib pake deodoran masih pagi hidung kami sudah berjibaku dengan bau badan,Kebersihan
@CommuterLine cek dong jadwal mana yg telat sampe 30 menit arah tanah abang. Kalo punya sistem yg bener harusnya gausah nanya lagi jadwal kereta yg mana yg ga becus,Keterlambatan
@CommuterLine Pansi min. SOP bertele2. Kalo kelen bisa komunikasi dgn yg di kereta satset pasti ketemu tuh barang. Wong kereta baru berangkat dr stasiun. Kalopun di bagasi sudah gada krn dicuri kelen bisa cari ke setiap gerbong. Pasti ketemu selama kereta blm smpai st berikutnya,Keamanan
@CommuterLine udah nggak akurat min jadwalnya. Udah beberapa kali selalu datang di jam 8.05 kadang jalan lagi dari manggarai 8.10. Terlalu padat jeda waktu dari kereta sebelumnya. Evaluasi lagilah.,Kepadatan
@CommuterLine 6054 KPB-CKG kemaren tuh ngaret parah! Telat juga nanya mau di cek udh kejadian kemaren semerawut dan chaos di st kranji karena yg tujuan cikarang naik bekasi dan nunggu di kranji.,Keterlambatan
@CommuterLine Ini ma gila mana ada jam segini masih padat sesak begini. Tolong jangan pelit jgn males jgn mau cepat pulang. Penumpang di kira ikan asin https://t.co/MjbwHNermw,Kepadatan
@CommuterLine @worksfess Balikin lagi rute yg sebelumnya biar ga numpuk Kalo bisa pagi jgn 8 gerbong jam sibuk kok 8 gerbong,Pelayanan
@CommuterLine Masih gangguan nih kayaknya penumpang penuh banget di rawbun. Mana lagi sakit padahal berharap bisa dapet tempat duduk :( yang ada ini pasti kegencet,Keterlambatan
@CommuterLine Tolong lah kalo jadwal bekasi via manggarai jam 7.06 gausah ditelatin ini malah tiba2 yg via pasar senen masuk otomatis yg via manggarai jd telat. Pdhl udh double track tp kereta msh suka lemot. Pasti masinis yg via ps senen cewe tuh yg tdinya untuk via manggarai dr cikarang,Keterlambatan
@CommuterLine @emaildariza min emang kapan kereta g padet di jam kerja kaya gini suruh nunggu kereta berikutnya ya kali kita udh sengaja jalan pagi biar bisa dtg kerja ga telat solusinya malah suruh nunggu kereta berikutnya kocak,Kepadatan
@CommuterLine ini kenapa lama banget ya untuk nunggu 1 kereta? Bisa hampir 1 jam Sedangkan yg arah manggarai/cikarang/bekasi bisa 1 kereta per 10 menit https://t.co/HKeOQfu7Ii,Keterlambatan
@CommuterLine kabin gerbongnya bau pesing wkwkwkwkwkw,Kebersihan
@CommuterLine Minta tlg security ke gerbong 7 KA2099 PP-THB krn ada penumpang celana hijau ber2 sangat berisik ngobrol dengan sebelahnya klo security udh lewat.,Pelayanan
@CommuterLine @panjirayrizki Ngaret tuh menurut lu normal ya? Ngaret semenit aja udah pada numpuk orang2 blogggg,Kepadatan
@CommuterLine Udah sampe tujuan apes juga dapat gerbong yg kipas doang panas bgt sampe banyak yg bau ketek coyyyy,Pelayanan
@CommuterLine bodoamat min saya udah dirumah! tolong dong KAI klo ada perbaikan kasih estimasi. rush hour gini penanganannya kacau! operator admin masinis minta maaf mulu. ga saya maapin ampe lebaran bodoamat! masalahnya jg ga dikasih tau kenapa ampe gangguan ckck miris beda bgt sama jepang,Pelayanan
@CommuterLine Min ini masa nunggu kereta dari prng pjng ke tn abang sampe 30 menit lebih sih? Bikin orang telat aja dah,Keterlambatan
@CommuterLine knp tiba2 keretanya malah gak ngangkut penumpang? Jadinya pada numpuk nih di stasiun Cikarang. Harusnya sesuai dong sama jadwalnya. Hari pertama ganti jadwal perjalanan crowded bgt. Tolong lah gausah ganti2 terus at least aktualnya sesuai lah sama jadwal yg di app. https://t.co/c8uXyH7Vwv,Kepadatan
@CommuterLine Saya nunggu dari sekitar jam 5.30 baru ada kereta lagi jam 5.45. yang ke arah manggarai sudah 3 kereta,Keterlambatan
@CommuterLine minn ada gangguan ya :( ini mau kerja kereta penuh. sebelumnya jam segini sepi malah desek desekan :(,Keterlambatan
@CommuterLine heran banget sering telat gegara krl ada aja alesannya. Ketahan mulu dimanggarai jadi delay mulu arah duri. Dan jadwal nya juga berubah ubah mulu gak ada jadwal pasti nya. Kena ST dari kantor gara gada krl. Capeeekkkk,Keterlambatan
@CommuterLine @zuu_haaa Krt telat penumpang 07.55 &amp; 08.06 sdh bludak. Mrk auto panik tkt next krt ny lbh lama lg.,Kepadatan
@CommuterLine @costlyendeavor Jalur kereta arah bekasi/cikarang dari sudirman karet tnh abang kacau beberapa hari ini. Di jam sibuk masih bisa bisa nya jeda 15-20 menit. Kereta feeder nya gaada. Saya udh nunggu 20 menit baru ada 1 kereta lewat itu pun penuh gabisa masuk karena jeda nya yang sangat lama,Kepadatan
@CommuterLine Apa gak bahaya ada celah peron nyaris 50cm dengan ketinggian gabnya adalah 20cm? Lokasi Stasiun universitas Indonesia untuk celah peron bagian ujung dari 2018 sampai detik ini gak ada niat untuk memperbaiki kah? Ini bahaya banget loh?!! https://t.co/yyqvGNguG6,Keamanan
@CommuterLine Min justru tidak ada himbauan dari petugas dilapangan baika di stasiun ataupun di dalam gerbong (o/ Security). Himbauan ini pernah dilakukan saat covid-19 sdh berangsur hilang dengan ada pembatasan penumpang ke peron jika kondisi penumpang banyak atau gerbong kereta kurang.,Pelayanan
@CommuterLine @Rnurfajar Gni emg jawaban ngeselin trkesan lempar tanggung jawab. Pernah jg ngalamin ktggalan kereta k semarang krna KRL ketahan d st. kemayoran trus tlpon 121 djawab ga ada hubungannya prjalanan krl dg kajj gt. Hebat kan jwabannya @CommuterLine dan @KAI121 .,Pelayanan
@CommuterLine Kejadian pagi ini sabtu 3juni2023 mulai lamongan sampai pasar turi untuk KA Arjonegoro ada 2 pintu nggak mau terbuka sedangkan KA Sindro pintu terbuka terlihat saat masuk stasiun kandangan lebih bahaya KA Sindro pintunya terbuka saat kereta berjalanan https://t.co/KYwn0ktuhk,Keamanan
@CommuterLine @CommuterLine min knp nambo sekarang selalu delay lama bgt sih?!! Gk sesuai dengan jadwal yg baru!,Keterlambatan
@CommuterLine bulan puasa kenapa jarak kereta yg ke arah bogor jadi 20 menitan ya? Yg ke arah jakarta kota udah 3 kereta yg lewat. Masih disusul KAJJ ga jalan2 apa udah 20 menit. Di gondangdia ud numpuk penumpangnya ini. Evaluasi lagi dong bulan puasa orang pada pulang cepat.,Kepadatan
@CommuterLine @Susilow62383231 evaluasi mulu dari kemarin kemarin armadanya kurang terus pada telat lagi gimana ga mau numpuk. apalagi arah bekasi cikarang lama banget,Kepadatan
@CommuterLine Yg saya liat selalu di stasiun tanah abang. Dan selalu dibagian belakang eskalator karena disana memang gak pernah ada petugas yg stand by.,Pelayanan
@CommuterLine ini KA 1641 selalu telat lebih dari 5 menit. Kaga ada perbaikan atau penegasan peraturan gitu agar tidak terlambat selalu?,Keterlambatan
@CommuterLine halo. Kenapa KRL stuck lama di batu ceper ya. Sudah 10 menit,Keterlambatan
@CommuterLine min kereta tn abang - rangkas kenapa panas banget sih pas lagi jam rame pengap tau belom aja bengek gua balik kambuh lagi,Keamanan
@CommuterLine Nggak usah kalian buat tangga manual 2 Lajur kalau kalian hanya pakai 2 lajur itu cuma buat turun semua!!! Bikin pusing penumpang yang mau naik kalian!! Nyusahin penumpang yang mau naik transit!! System kalian kenapa kacau semua sih?,Pelayanan
@CommuterLine @akukreszy Gak usah dicabut min. Napas orang baunya kayak kecoa.,Kebersihan
@CommuterLine cape bgt kereta telat mulu biasanya kereta yg ke duri jam 17.38 udh ada di tn abang. Skarang masa harus nunggu sampe jam 17.55 sampe 15 menit lebih ini pnp udh numpuk bgt. Yg bener aja min telat di rush hour gini,Keterlambatan
@CommuterLine capek banget lama lama transit di manggarai lift harus rebutan sama orang orang yg masih pada sehat sedangkan saya lagi hamil dan kadang milih turun tangga aja karna gamau ke dorong dorong tapi di tangga kenapa harus segala di tahan tahan juga,Keamanan
@CommuterLine ini jadwal baru jadi buat CKR - KPB lebih penuh dari sebelumnya .. coba cek grafik nya lagi Bapak2 KAI. coba naik sendiri dari KRL jam 7 pagi CIKARANG SAMPE CAKUNG SAJA ..BERASA numpuk,Kepadatan
