full_text,label
@CommuterLine pls ini jorok banget?? lagi gaada petugas kah sampai dibiarin aja drtd? kaget bgt pas lg ngetap dan buat yang ngebuang di sini lu se gaada otak itukah?! pdhl tempat sampah ada di mana mana https://t.co/FKzpjZsNIW,Kebersihan
@CommuterLine min mau konfirmasi ini kok masih ada ya pin ibu hamil palsu? Gaada tanggal expired gaada logo KAI. Tolong dong satpam bisa lebih tegas dan notice pin pin begini https://t.co/cbo4glv2vt,Pelayanan
@CommuterLine Petugas lu tuh kasih pelajaran juga rugi lu gaji orang gak kompeten Awas aja masih ada petugas kayak gini,Pelayanan
@CommuterLine saya lagi berdiri karena pake jas ujan di dalem kereta tiba2 ada satpam bilang mba jas ujannya di lepas ya sekarang peraturannya di dalam kereta ga boleh pake jas ujan sedangkan kereta ga rame dan saya ga duduk dan ga deket bangku juga berdirinya,Pelayanan
@CommuterLine min ini di kerta commuter line solo jogja apa bs dikirimkan petugas untuk bantu menertibkan org2? banyak yg melanggar aturan duduk di lantai sehingga nutupin pintu. ini otw stasiun maguwo arah ke solo,Pelayanan
@CommuterLine @i_publicist Tapi sering min ibu2 bawa anaknya udh tinggi kisaran SMP-SMA udh bisa pegangan handheld masuk gerbong cewe trs minta duduk segala petugasnya negur aja digalakin. Lebih tegas lagi plis sama aturannya kcuali anaknya masih bayi baru deh bolehin di gerbong cewe.,Pelayanan
@CommuterLine Buset baru di benerin jam 06.00 Padahal kereta udah ketahan dari jam 05.00 Terus td dari jam 05.00 sampe jam 06.00 ngapain aja petugasnya?,Keterlambatan
@CommuterLine duh gua udah naik kereta yang nyampe duluan (8.18) terus turun karena ada kereta baru dateng yang katanya berangkat 8.21. pas gua keluar kata petugas keretanya yang berangkat yang ini (kereta yang udah gua naikin) duluan. gmn sih? gua udah dapet duduk jadi berdiri,Pelayanan
@CommuterLine @kamarlintang yeh kocak itu kakaknya udah lapor petugas tapi petugas kalian yang kayak taik.,Pelayanan
@CommuterLine Barusan banget udah disuruh berdiri sama satpam. Kursi prioritas ini kalo di jalur hijau kacau.,Pelayanan
@CommuterLine kayanya kalian harus imbau penumpang untuk ga ngobrol atau telepon dengan suara keras. Jujur ganggu kenyamananbanget. Jgn cuma ada aturan doang tp satpamnya ga mau negur,Pelayanan
@CommuterLine @kamarlintang Pecat itu pegawai ga waras. Bisa-bisanya modelan kaya gitu dipekerjakan. Rusak integritasmu yang lagi berusaha melawan kekerasan seksual!!!!,Keamanan
@CommuterLine KA bandara dapet refund 100%. Tapi pengguna KRL yg udah tap in kelamaan di dalem st Tangerang dan dirujuk ambil transportasi lain sama petugas pas tap out di stasiun yg sama ttp kepotong tuh min 3000rp :( rugi sekali,Pelayanan
@CommuterLine min apakah ada standar/aturan maks/min suara klakson krl? Untuk krl jabodetabek dgn KAJJ harusnya ada bedanya ya. Belakangan suara klakson krl crrc (tidak semua) terlalu memekakkan telinga untuk penumpang yg sedang di peron belum lg untuk petugas yg berjam2 standby,Keamanan
@CommuterLine Commuter dr kalibata menuju kota jam 10.20an pagi ini gerbong no.2 dr belakang. Satpam menggunakan masker. Mohon untuk tidak hanya sigap memberi jempol utk tutup pintu sebelum memastikan pengguna di sekitarnya. Terima kasih,Keamanan
@CommuterLine Petugas stasiun juga kemarin tidak selalu stand by Kak. Sebaiknya papan informasi itu ada juga di arah barat. @grok,Pelayanan
@CommuterLine tolong dunk bisa dengan petugas/tulisan escalator di kanan artinya berjalan diperjelas biar biasa SDM kita tuh makasihh,Pelayanan
@CommuterLine mesin taping di st karet tolong dicek itu saya mau taping keluar 2 kali ngetap tulisannya kartu tdk dikenal pas ke 3 kali baru bisa bikin lama jadinya. Udah gitu petugasnya bukan berdiri di depan mesin taping malah berdiri bareng penumpang bikin susah kalo manggil,Pelayanan
@CommuterLine tlg dong mesin tap out di KRL Sudirman (cm mau transfer dari MRT Dukuh Atas ke LRT Dukuh Atas) sering rusak ya? emoney card ga kebaca. alhasil cara cepetnya petugas ngetap out pake kartu mereka. akibatnya pas saya tap in di LRT jd gagal &amp; diminta balik ke sudirman,Pelayanan
@CommuterLine mohon dipertegas lagi lelaki dewasa yg duduk di gerbong wanita. Udah saya bilangin penumpang itu buat pindah tapi petugasnya tadi sempat ga ada Saya naik kereta arah jakarta kota di stasiun Tanjung Priok jam 12.26 hari ini,Pelayanan
@CommuterLine tolong bgt min hrs ramah krn pelayanan itu prioritasnya keramahan LRT Jabodebek aja bisa pada ramah lho,Pelayanan
@CommuterLine @KAI121 commuter line penataran (421). jadwal sampai di wonokromo pukul 9.26 WIB. pegawainya tidak cuma satu ya kak bersahutan dari yang berseragam kuning dan hitam waktu sedang ngobrol di gudang gerbong kantin.,Pelayanan
@CommuterLine petugas Ps yang di get stasiun kelender baru pelayanan mukanya sangat tidak ramah saya bertanya tidak di jawab tidak cocok jadi petugas pelayanan gimana sih ini KAI recrut orang seperti itu gak becus bukan hanya 1/2 kali sangat lambatt tidak loyal!!!!!!!,Pelayanan
@CommuterLine grgr kereta kalian kemarin telat 14 menit di stasiun kampung bandan gw yg anterin temen ke stasiun pasarsenen gak jd tiket pun gak bisa dibatalin hangus dr awal jam 18.53 gw nanya sma petugas katanya keretanya bntr lg taunya krl nya dateng jam 19.17 https://t.co/V7JVZQHTI8,Keterlambatan
@CommuterLine karena nggak setiap saat pas kita tiba di stasiun itu ada announcementnya. saya tanya ke petugas juga petugas harus cek ulang di hp nya. jadi sangat memakan waktu. biasanya cuma tinggal lihat aja semua keterangan ada di monitor. sekarang kok informasi penting malah dihilangkan,Pelayanan
@CommuterLine tujuan cikarang keberangkatan 20.07 dr sudirman. ada petugas tp diem aja kok,Pelayanan
@CommuterLine Posisinya di area stasiun atas min bukan di rangkaian kereta ya.. pelaku berani karena pengawasan petugas lengah.. lagi sibuk sama eskalator rusak.. kejadian sekitar pukul 15.10-15.17 di area tap gate keluar stasiun Bekasi,Keamanan
