created_at,full_text,in_reply_to_screen_name,lang,tweet_url,label,word_count,text_svm,text_bert,label_id
Fri Sep 06 01:07:42 +0000 2024,@CommuterLine kenapa delay parah? Jawab.,CommuterLine,in,https://x.com/undefined/status/1831861799651856744,Keterlambatan,5,delay parah jawab,kenapa delay parah jawab,0
Thu Jul 11 00:14:14 +0000 2024,@CommuterLine min kereta jurusan Tanah Abang dll kenapa ga pernah ada lagi dari Bogor ? Biar ga numpuk semua dari bogor Citayam Depok baru dan pondok cina,CommuterLine,in,https://x.com/undefined/status/1811192237042303155,Kepadatan,27,admin kereta jurus tanah abang kenapa pernah lagi bogor biar numpuk semua bogor citayam depok baru pondok cina,admin kereta jurusan tanah abang dll kenapa tidak pernah ada lagi dari bogor biar tidak numpuk semua dari bogor citayam depok baru dan pondok cina,1
Mon Apr 01 23:15:57 +0000 2024,@CommuterLine @MuhammadSancK Udah numpuk penumpang yg nunggu di stasiun bekasi timur min Ga berhenti2 kereta jarak jauh lewat hadehh,CommuterLine,in,https://x.com/undefined/status/1774938785605906496,Keterlambatan,19,numpuk tumpang nunggu stasiun bekas timur admin berhenti2 kereta jarak jauh lewat hadehh,sudah numpuk penumpang yang nunggu di stasiun bekasi timur admin tidak berhenti2 kereta jarak jauh lewat hadehh,0
Wed Apr 16 10:41:26 +0000 2025,@CommuterLine kereta bogor mana oyyyyyy. Ini penumpang numpuk di stasiun,CommuterLine,in,https://x.com/undefined/status/1912456291852959913,Keterlambatan,10,kereta bogor mana oyyyyyy tumpang numpuk stasiun,kereta bogor mana oyyyyyy ini penumpang numpuk di stasiun,0
Wed Dec 20 05:32:18 +0000 2023,@CommuterLine Tadi pagi sangat kesal banget harusnya cibinong 07.16 ke manggarai nyampe 8.04 malah molor ke 8.16 jadinya telat ke kantor,CommuterLine,in,https://x.com/undefined/status/1737345158394569087,Keterlambatan,21,tadi pagi sangat kesal banget harus cibinong waktu jam manggarai nyampe waktu jam malah molor waktu jam jadi telat kantor,tadi pagi sangat kesal banget harusnya cibinong waktu_jam ke manggarai nyampe waktu_jam malah molor ke waktu_jam jadinya telat ke kantor,0
Wed Jun 05 00:08:42 +0000 2024,@CommuterLine Min sekedar saran utk petugas yg standby d peron 1 dan 2 st. Manggarai. Mohon utk memberikan arahan yg jelas ttg krta mana yg dberangkatkan duluan d jalur tsb. Bbrpa ksmptn slh info sehingga menyebabkan gesekan antar penumpang d persilangan peron. Trims,CommuterLine,in,https://x.com/undefined/status/1798144880918839383,Pelayanan,43,admin dar saran utk tugas standby d peron angka angka st manggarai mohon utk beri arah jelas ttg krta mana dberangkatkan duluan d jalur tsb bbrpa ksmptn slh info sebab gesek antar tumpang d silang peron trims,admin sekedar saran utk petugas yang standby d peron angka dan angka st manggarai mohon utk memberikan arahan yang jelas ttg krta mana yang dberangkatkan duluan d jalur tsb bbrpa ksmptn slh info sehingga menyebabkan gesekan antar penumpang d persilangan peron trims,2
Tue Aug 01 10:52:27 +0000 2023,@CommuterLine No KA 4070 itu hrsny ada di Matraman tp malah 5124A yg lewat dan penuh sesak! https://t.co/2mreJZ8xZ2,CommuterLine,in,https://x.com/undefined/status/1686329036191272960,Keterlambatan,18,no ka angka hrsny di matraman malah 5124a lewat penuh sesak,no ka angka itu hrsny ada di matraman tapi malah 5124a yang lewat dan penuh sesak,0
Fri May 24 13:55:17 +0000 2024,@CommuterLine KRL 12 gerbong pada kemana ya ? Aneh dah jam 6- 7 pagi malahh banyak 8 gerbong Prasaan Gaji pegawai KRL udh dinaikin pak ignatius Kok pelayanannya jadi bobbrok,CommuterLine,in,https://x.com/undefined/status/1794004245760679941,Pelayanan,30,krl angka gerbong mana aneh dah jam rentang angka pagi malahh banyak angka gerbong prasaan gaji pegawai krl dinaikin pak ignatius kok layan jadi bobbrok,krl angka gerbong pada kemana ya aneh dah jam rentang_angka pagi malahh banyak angka gerbong prasaan gaji pegawai krl sudah dinaikin pak ignatius kok pelayanannya jadi bobbrok,2
Fri May 30 00:36:50 +0000 2025,@CommuterLine Masa kereta yang biasanya berjalan karena hari kejepit jadi ga berjalan. Bikin jadwal normal dan jadwal liburan yg bisa di download lah biar tau kalau kalian libur berubah jadwal kereta seperti apa,CommuterLine,in,https://x.com/undefined/status/1928249206055002618,Pelayanan,33,masa kereta biasa jalan hari jepit jadi jalan bikin jadwal normal jadwal libur bisa download lah biar tau kalau kalian libur ubah jadwal kereta apa,masa kereta yang biasanya berjalan karena hari kejepit jadi tidak berjalan bikin jadwal normal dan jadwal liburan yang bisa di download lah biar tau kalau kalian libur berubah jadwal kereta seperti apa,2
Sun Apr 09 23:28:22 +0000 2023,@CommuterLine @asmurcom Petugasnya lebih menggampangkan fokus ke bagian yg bukan prioritas daripada ngecek yg bagian prioritas apakah sudah sesuai syarat prioritas..,CommuterLine,in,https://x.com/undefined/status/1645207052518842371,Pelayanan,21,tugas lebih gampang fokus bagi bukan prioritas ngecek bagi prioritas sudah sesuai syarat prioritas,petugasnya lebih menggampangkan fokus ke bagian yang bukan prioritas daripada ngecek yang bagian prioritas apakah sudah sesuai syarat prioritas,2
Mon Mar 03 01:39:14 +0000 2025,@CommuterLine Diperhatikan dong perbaikan rel di rush hour. Kita2 ini yg terdampak numpuk dorong2an membahayakan semua aspek jadinya. KALO MAU PERBAIKAN DI JAM 4 SUBUH KEK aarrggghhh,CommuterLine,in,https://x.com/undefined/status/1896374775582482487,Keamanan,27,perhati dong baik rel rush hour kita2 yang dampak numpuk dorong2an bahaya semua aspek jadi kalau mau baik jam angka subuh kek aarrggghhh,diperhatikan dong perbaikan rel di rush hour kita2 ini yang terdampak numpuk dorong2an membahayakan semua aspek jadinya kalau mau perbaikan di jam angka subuh kek aarrggghhh,3
