created_at,full_text,in_reply_to_screen_name,lang,tweet_url
Wed Jun 14 00:32:25 +0000 2023,@CommuterLine tadi pagi sy liat ada kucing di stasiun Juanda persis di depan pintu keluar commuter line dekat tangga. Tolong segera dibawa keluar takut turun ke rel bahaya,CommuterLine,in,https://x.com/undefined/status/1668778382476341249
Wed Apr 05 23:37:56 +0000 2023,@CommuterLine Pagi2 kena prank. Biasa kereta tanah abang-angke jalur 6/7 tiba2 dateng dr jalur 4 mana nyebrangnya bahaya banget‍️ada yg senasib sama gue ga tadiiiiii? Wkwk https://t.co/nrOR5OnF0r,CommuterLine,in,https://x.com/undefined/status/1643759908909883392
Fri Jul 28 13:05:05 +0000 2023,@CommuterLine min boleh tolong disampaikan stasiun palmerah tolong eskalator selatan yg turun ke peron 1 lempengan di atas agak jendul tadi takutnya ada yg harus dikencengin ato gmn bahaya kalo sampe njeblos makasih min,CommuterLine,in,https://x.com/undefined/status/1684912861737574400
Mon Aug 21 14:49:47 +0000 2023,@CommuterLine stasiun tambun kapan jadinya??? Bahaya bgt ini udah makan korban... dan rawan bgt klo bawa anak2 harus bgt wajib digandeng. Ditambah lagi aksesnya susah karena jalan yg sempit oleh PKL ojek dan parkir liar. Tolonglah... yg naik dari tambun banyak bgt https://t.co/W6mr9UAGqo,CommuterLine,in,https://x.com/undefined/status/1693636522904318137
Wed Jan 25 15:50:10 +0000 2023,@CommuterLine @tanyakanrl Jgn tunggu orang meninggal atau cacad baru diperbaiki min. gercep itu bahaya bgt. Safety itu yg diutamakan,CommuterLine,in,https://x.com/undefined/status/1618275042273677313
Tue May 09 05:33:46 +0000 2023,@CommuterLine ini ga ada rencana dibenerin min? Bahaya bgt diserobot oknum. https://t.co/AkCshfmZ84,CommuterLine,in,https://x.com/undefined/status/1655808256147861509
Mon Aug 14 07:45:44 +0000 2023,@CommuterLine Min masukkan dong kasih larangan main hp di tangga (ya harusnya sadar sndiri sh sbnernya). Terutama yang turun di Tebet &amp; rush hour. Sering banget di tangga tuh lama krn pd sibuk mesan ojol. Pdhl bahaya buat mereka sendiri jg selain ganggu orang lain.. Makasii,CommuterLine,in,https://x.com/undefined/status/1690993090071605248
Fri Sep 01 02:52:36 +0000 2023,@CommuterLine @jalur5_ Lah orang mabok bagusnya naik transportasi umum berkendara justru bahaya..,CommuterLine,in,https://x.com/undefined/status/1697442302141321413
Sun May 21 15:35:59 +0000 2023,@CommuterLine @tanyakanrl Iya min bahaya bgt kalo licin dan banjir di dalam kereta apalagi bogor kota hujan,CommuterLine,in,https://x.com/undefined/status/1660308462969188352
Fri Oct 13 04:49:05 +0000 2023,@CommuterLine Bahaya itu kalau KRL masuk jalur 4 atau 5 antara penumpang turun dari KRL dan penumpang mau naik ke KRL terhambat sekali sama jalanan turunan/naikan peron yang sempit sekali,CommuterLine,in,https://x.com/undefined/status/1712691907577655673
Tue Nov 14 01:58:54 +0000 2023,@CommuterLine min di KRL 1195B arah Bgr-Jkt gerbong 8 ada lebah nih gue digigit bs tlg dibersihin kali ya krn bahaya buat orang bs bikin bengkak haduh Cc: @CurhatKRL https://t.co/hXNCLeLisE,CommuterLine,in,https://x.com/undefined/status/1724245491754639454
Thu Mar 09 00:32:56 +0000 2023,@CommuterLine Kenapa ini 4x berenti pintu kebuka.. Kereta penuh bahaya min https://t.co/HUTJxrCukH,CommuterLine,in,https://x.com/undefined/status/1633626888190193664
Thu Aug 03 10:28:53 +0000 2023,@CommuterLine ini pekerjaan di St Tanjung Barat bakal sampai kapan ya? Itu pembatas seng nya sangat makan tempat dan ruang utk penumpang lalu lalang jadi terbatas bahkan bahaya krn mepet dengan sisi batas jalur kereta. https://t.co/jKGkMR97Ds,CommuterLine,in,https://x.com/undefined/status/1687047883487633408
Wed Nov 22 23:34:12 +0000 2023,@CommuterLine Min aku lupa catet nmr kereta nya yg jelas pas pulang kerja dr manggarai sekitar jam 18.45 8 kereta. Saat sampai di setiap stasiun dan buka pintu itu kanvas rem bau kebakar masuk gerbong tak bahaya kah?,CommuterLine,in,https://x.com/undefined/status/1727470567086076112
Tue Nov 14 15:51:07 +0000 2023,@CommuterLine tolong dong utk stasiun palmerah diperbaiki eskalator maupun tangga manualnya. Soalnya tangga manualnya sendiri bahaya utk orang yg matanya agak minus krn antara anak tangga yang satu dg yg brikutnya warnanya terlalu samar shg utk berjln hrs bnr2 nunduk Dan pelan2,CommuterLine,in,https://x.com/undefined/status/1724454925357490216
Sat Feb 04 09:24:18 +0000 2023,@CommuterLine Semoga segera selesai ya min.. bahaya buat lansia dan difabel Tadi asal melangkah aja taunya lebih tinggi daripada stasiun lain ampe kaget pas napak ,CommuterLine,in,https://x.com/undefined/status/1621801814281838592
Tue May 30 01:13:03 +0000 2023,@CommuterLine kak rangkaian yang berhenti di jalur 6 st manggarai cukup pintu kiri aja yang di buka gerbong bagian depan gak dapat peron di sebelah kanan bahaya ada yg jatuh terdorong,CommuterLine,in,https://x.com/undefined/status/1663352791937732608
Fri Dec 22 02:40:35 +0000 2023,@CommuterLine halo. kalau boleh usul iklan-iklan jangan dibuat sama dengan pengumuman formal agar tidak bingung dengan pengumuman yg sebenarnya. apalagi pakai sirine/alarm tanda bahaya. jangan sampai penumpang menjadi cuek dengan pemberitahuan2 penting di saat2 emergency,CommuterLine,in,https://x.com/undefined/status/1738026718638797088
Fri Jun 02 23:29:25 +0000 2023,@CommuterLine @Rizz__53 Tolong min klo kereta barang masuk di st rangkasbitung jangan diparkir di jalur 1 kasian org2 yg mau naik kereta di jalur 2 &amp; 3 harus nyebrang lewatin rangkaian gerbong kereta barang apalagi yg bawa anak kecil bahaya mengancam,CommuterLine,in,https://x.com/undefined/status/1664776262357856256
Sat Mar 11 09:31:12 +0000 2023,@CommuterLine @menumpahkan Kalo udah dicek diapain kak? Apakah hanya ayo kita cek Wah bahaya Kemudian kakanya membeli cinlok pocin ,CommuterLine,in,https://x.com/undefined/status/1634487123192745985
Sun Oct 22 09:28:35 +0000 2023,@CommuterLine @kegblgnunfaedh ga tegas mint bahaya tuh org mabok kok di bolehin masuk.,CommuterLine,in,https://x.com/undefined/status/1716023736254750931
Tue Jan 31 17:36:50 +0000 2023,@CommuterLine @_HarRam Itu di ujung doang min. Tapi seluruh peron itu masih terlalu ketinggian. Terkesan formalitas. Kalau mau semua min. Bahaya itu. Jangan hanya buat di foto doang trs di bongkar. Gw udah seneng dengernya gak taunya zonk.,CommuterLine,in,https://x.com/undefined/status/1620476211553243136
Wed Dec 27 23:57:12 +0000 2023,@CommuterLine tolong dong bilang ke satpamnya suruh standbye deket tangga. Barusan di st manggarai jalur 10 jkt kota jam 6.50. Satpamnya cuma main hp doang. Penumpang yg turun memakai tangga jalur naik dan turun. Orang yg mau naik ke jalur 10 hampir jatuh. Desek2an. Bahaya loh.,CommuterLine,in,https://x.com/undefined/status/1740159929468822007
Sat Oct 21 11:55:06 +0000 2023,@CommuterLine Salute .. takutnya ada yg lempar ke arah kreta bahaya . Gausah minta maaf mind kan bukan slah kretanya,CommuterLine,in,https://x.com/undefined/status/1715698218829553692
Sun Jan 22 23:10:06 +0000 2023,@CommuterLine nih min baca ya. Di st Manggarai sering bgt eskaltor mati tp tetep dipake bahkan dijam padat. Itu bahaya. Mohon diperhatikan lebih baik ditutup.,CommuterLine,in,https://x.com/undefined/status/1617298590992584707
Wed Jun 14 11:43:58 +0000 2023,@CommuterLine @KAI121 Barusan ada ibu2 jatuh terlentang di stasiun depok baru pas mau naik kereta arah bogor. Detailnya ga tahu kenapa tapi kelihatannya karena jarak antara kereta dan peron terlalu tinggi dan jauh. Ini bahaya bagi banyak orang terutama lansia.,CommuterLine,in,https://x.com/undefined/status/1668947382934044672
Fri Sep 01 10:26:58 +0000 2023,@CommuterLine @jalur5_ lho gmn sih min kan bener kalo orang mabuk naik kereta biar kalo nyetir sendiri gak bahaya. kalo ribut atau nyari perkara baru diamankan. kereta kosong juga kok. lain kali ditanggepi santai aja min kalo postingan begini bukan tindak kejahatan.,CommuterLine,in,https://x.com/undefined/status/1697556647236026454
