"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2042816977077743664","Sat Apr 11 04:08:15 +0000 2026","28","klo ak ke surabaya atau ke jegerdah lagi kira kira bakal punya temen engga ya?‍️","2042816977077743664","","","in","","0","8","0","https://x.com/undefined/status/2042816977077743664","1340976726881390592",
"2042923067312066916","Sat Apr 11 11:09:49 +0000 2026","8","先に顔送るけど、徳島県の勝瑞駅か徳島駅の近辺で会えるって人いたら教えてー！","2042923067312066916","","","ja","","0","1","0","https://x.com/undefined/status/2042923067312066916","1932358728109662208",
"2042852874699575620","Sat Apr 11 06:30:54 +0000 2026","84","Akselerasi dan Deselerasi Sistem Traksi IGBT-VVVF buatan Toyo Denki RG6061-A-M di dalam kabin KRL baru INKA seri EA207. Dipost dulu daripada kelamaan mejeng di galeri haha https://t.co/XWlyo4TiHO","2042852874699575620","https://pbs.twimg.com/ext_tw_video_thumb/2042852512378818565/pu/img/FInKtm8MpKxuSKWR.jpg","","in","","0","4","9","https://x.com/undefined/status/2042852874699575620","1509542393002926087",
"2042872222726132030","Sat Apr 11 07:47:47 +0000 2026","19","Hari ini beneran kejadian mau naik OTT malah ujan https://t.co/fPVqGzrfrw","2042872222726132030","https://pbs.twimg.com/media/HFm9c4cakAAnn7L.jpg","","in","","0","2","0","https://x.com/undefined/status/2042872222726132030","2394713818",
"1718181068107587861","Sat Oct 28 08:21:03 +0000 2023","0","@CommuterLine min kereta dari pesing ke duri paling terakhir jam berapa yaa ?","1718181068107587861","","CommuterLine","in","","0","1","0","https://x.com/undefined/status/1718181068107587861","1633712633621921792",
"2042644230653514091","Fri Apr 10 16:41:49 +0000 2026","10","Jumat Untuk Rakyat Hati Tetap sama Andri Yunus Olive Generasih Penerus Bangsa Bangsa Indonesia vcs ready https://t.co/IBAs7FrGN1","2042644230653514091","https://pbs.twimg.com/media/HFjuGD5akAInvDE.jpg","","in","","0","1","4","https://x.com/undefined/status/2042644230653514091","2026362090051743749",
"2042813816216662226","Sat Apr 11 03:55:42 +0000 2026","45","駆動車無しとは？ #プラレール https://t.co/CF69QKkpQb","2042813816216662226","https://pbs.twimg.com/media/HFmIVbubYAAExot.jpg","","ja","","0","0","1","https://x.com/undefined/status/2042813816216662226","1906660794869456896",
"2042999015663718873","Sat Apr 11 16:11:37 +0000 2026","34","Before bedtime https://t.co/6R3frtWVqi","2042999015663718873","https://pbs.twimg.com/media/HFowxd4a8AADRGM.jpg","","en","","1","2","1","https://x.com/undefined/status/2042999015663718873","1846772767188041728",
"1702136316799128045","Thu Sep 14 01:44:56 +0000 2023","0","@CommuterLine kabin gerbongnya bau pesing wkwkwkwkwkw","1702136316799128045","","CommuterLine","in","","0","1","0","https://x.com/undefined/status/1702136316799128045","1283072963105808385",
"2042937250540118361","Sat Apr 11 12:06:11 +0000 2026","40","インドネシアの高速鉄道Whooshでバンドンへ小旅行に。時速347kmまで見た。Halim駅からPadalarang駅まで30分。そこから無料のFeeder列車に20分乗ればバンドン駅に到着。Halim駅がジャカルタ南東にある点は注意。#ジャカルタ #バンドン https://t.co/G8t4YTQVtR","2042937250540118361","https://pbs.twimg.com/ext_tw_video_thumb/2042937219422568448/pu/img/RvslALyYj4_MUaqj.jpg","","ja","","0","6","1","https://x.com/undefined/status/2042937250540118361","1234360104633294850",
"2042935948263219681","Sat Apr 11 12:01:00 +0000 2026","48","‼️‼️ Jukir Mie Gacoan Pekalongan Gelar Aksi! Tolak Sistem Vendor E-Parking https://t.co/WmIhqjXczV","2042935948263219681","https://pbs.twimg.com/ext_tw_video_thumb/2042935897314988032/pu/img/wxWaax70Sm9wTf_L.jpg","","in","","0","23","22","https://x.com/undefined/status/2042935948263219681","1424513138209157121",
"2042561917341045141","Fri Apr 10 11:14:44 +0000 2026","627","Joi-Tabと言って、JR東日本の全社員に配布されているIpad miniと思われます。 社員に一定の自由度を持たせ業務を効率化するため、アプリダウンロードなどの制限が緩いらしく、緩い制限を悪用して業務中にネットニュースやYouTubeを視聴する社員を私も多数目撃しています。 https://t.co/in2GuaM71B","2042561917341045141","https://pbs.twimg.com/media/HFijPHIakAMGs9b.jpg","","ja","","136","10","102","https://x.com/undefined/status/2042561917341045141","1526479003506589696",
"2042928204487496039","Sat Apr 11 11:30:14 +0000 2026","11","Polres Siak mendalami dugaan kelalaian atas tewasnya Muhammad Aqil siswa SMP Tahfiz Islamic Center Siak Riau saat uji coba senjata rakitan dalam ujian praktik pada Rabu (8/4/2026). Kapolres Siak AKBP Sepuh Ade Irsyam Siregar menegaskan penyelidikan dilakukan secara menyeluruh https://t.co/Ps2cHbrFQQ","2042928204487496039","https://pbs.twimg.com/amplify_video_thumb/2042928150469066752/img/iDq_hpc83OcTiq9X.jpg","","in","","1","0","4","https://x.com/undefined/status/2042928204487496039","154102750",
"2042652063495270869","Fri Apr 10 17:12:57 +0000 2026","4","any femboy or cder at bekasi rn #cder #femboy #cderbekasi","2042652063495270869","","","in","","0","3","1","https://x.com/undefined/status/2042652063495270869","1451769468359561219",
"2042554158256156742","Fri Apr 10 10:43:54 +0000 2026","49","SPS Liner new Rute!! Buat warga Tayu - Jepara - Semarang - Salatiga - Boyolali - Solo yang mau ke Denpasar sekarang ada perusahaan otobus SPS yang melayani rute PP Denpasar Bus ini mengeluarkan suites family class alias 2-1 kursi Sleeper!!! Yaa untuk sleeper nya kalo menurut gue https://t.co/ygpLJCzXDq","2042554158256156742","https://pbs.twimg.com/media/HFicLMAakAE7IyK.jpg","","in","","0","10","11","https://x.com/undefined/status/2042554158256156742","1146452083693895681",
"2042619183196967224","Fri Apr 10 15:02:17 +0000 2026","55","□機関車・記録の中から [72] ▽EF81 140 京浜東北線 東十条付近 #EF81 #電気機関車 #JR東日本 #懐かしい鉄道 #機関車の記録 https://t.co/5kVIOTwhQY","2042619183196967224","https://pbs.twimg.com/media/HFjXTwjakAYH7Uf.jpg","","ja","","0","0","2","https://x.com/undefined/status/2042619183196967224","1545825995709505541",
"1728957530528002263","Mon Nov 27 02:02:52 +0000 2023","0","@CommuterLine WC distasiun KA rata rata bau pesing ya...padahal cleaning service nya kelihatan banyak","1728957530528002263","","CommuterLine","in","","0","1","0","https://x.com/undefined/status/1728957530528002263","1190845641187966977",
"2042946440956383450","Sat Apr 11 12:42:42 +0000 2026","47","#中央線開業137周年 たくさんの特急列車と並んだシーンを集めてみた https://t.co/W1KN29177j","2042946440956383450","https://pbs.twimg.com/media/HFoA9XEakAQMhf6.jpg","","ja","","0","0","1","https://x.com/undefined/status/2042946440956383450","875606358074077190",
"2042854587267453270","Sat Apr 11 06:37:42 +0000 2026","123","TransJakarta Koridor 9 hari libur bukannya minim gangguan tapi malah tetap ada aja.","2042854587267453270","","","in","","2","4","38","https://x.com/undefined/status/2042854587267453270","1617441699613270016",
